Endereco,PrecoApto,PrecoCond,PrecoIPTU,NumQuartos,NumBanheiros,NumVagas,Area,URL
 ,Rua da Pátria| 28 - Santa Terezinha| São Bernardo do Campo - SP,R$ 220.000, , ,1,1,1,40,https://www.vivareal.com.br/imovel/apartamento-1-quartos-santa-terezinha-bairros-sao-bernardo-do-campo-com-garagem-40m2-venda-RS220000-id-85845444/
Condomínio Helbor Family Garden ,Avenida das Nações Unidas| 1515 - Centro| São Bernardo do Campo - SP,R$ 640.000,R$ 450, ,3,3,2,95,https://www.vivareal.com.br/imovel/apartamento-3-quartos-centro-bairros-sao-bernardo-do-campo-com-garagem-95m2-venda-RS640000-id-88257072/
 ,Independência| São Bernardo do Campo - SP,R$ 307.325,R$ 420,R$ 900,3,1,1,64,https://www.vivareal.com.br/imovel/apartamento-3-quartos-independencia-bairros-sao-bernardo-do-campo-com-garagem-64m2-venda-RS307325-id-78645643/
Condomínio ARCADIA ,Rua Brasílio Machado| 533 - Centro| São Bernardo do Campo - SP,R$ 460.000,R$ 500, ,3,2,2,80,https://www.vivareal.com.br/imovel/apartamento-3-quartos-centro-bairros-sao-bernardo-do-campo-com-garagem-80m2-venda-RS460000-id-82427278/
Condomínio MORADA DEMARCHI ,Demarchi| São Bernardo do Campo - SP,R$ 220.000,R$ 299,R$ 62,2,1,1,48,https://www.vivareal.com.br/imovel/apartamento-2-quartos-demarchi-bairros-sao-bernardo-do-campo-com-garagem-48m2-venda-RS220000-id-88234280/
Condomínio Esthephanie ,Rudge Ramos| São Bernardo do Campo - SP,R$ 300.000,R$ 480, ,2,1,1,60,https://www.vivareal.com.br/imovel/apartamento-2-quartos-rudge-ramos-bairros-sao-bernardo-do-campo-com-garagem-60m2-venda-RS300000-id-86959025/
Condomínio SUIT SAO BERNARDO ,Avenida Dom Jaime de Barros Câmara| 335 - Planalto| São Bernardo do Campo - SP,R$ 260.000,R$ 320,R$ 120,2,1,1,56,https://www.vivareal.com.br/imovel/apartamento-2-quartos-planalto-bairros-sao-bernardo-do-campo-com-garagem-56m2-venda-RS260000-id-88119293/
Condomínio DOMO LIFE ,Avenida Aldino Pinotti| 500 - Centro| São Bernardo do Campo - SP,R$ 1.249.990,R$ 1.200,R$ 400,3,4,3,180,https://www.vivareal.com.br/imovel/apartamento-3-quartos-centro-bairros-sao-bernardo-do-campo-com-garagem-180m2-venda-RS1249990-id-84301129/
Condomínio Auge Home Resort ,Avenida Pereira Barreto| 1201 - Baeta Neves| São Bernardo do Campo - SP,R$ 680.000,R$ 688,R$ 2.060,3,3,2,106,https://www.vivareal.com.br/imovel/apartamento-3-quartos-baeta-neves-bairros-sao-bernardo-do-campo-com-garagem-106m2-venda-RS680000-id-88204131/
Condomínio MORADAS DEL VINO ,Centro| São Bernardo do Campo - SP,R$ 650.000,R$ 1.000, ,3,3,4,115,https://www.vivareal.com.br/imovel/apartamento-3-quartos-centro-bairros-sao-bernardo-do-campo-com-garagem-115m2-venda-RS650000-id-83663315/
Condomínio Auge Home Resort ,Centro| São Bernardo do Campo - SP,R$ 755.000,R$ 800,R$ 160,4,4,2,147,https://www.vivareal.com.br/imovel/apartamento-4-quartos-centro-bairros-sao-bernardo-do-campo-com-garagem-147m2-venda-RS755000-id-85857344/
 ,Demarchi| São Bernardo do Campo - SP,R$ 201.400,R$ 330,R$ 45,2,1,1,51,https://www.vivareal.com.br/imovel/apartamento-2-quartos-demarchi-bairros-sao-bernardo-do-campo-com-garagem-51m2-venda-RS201400-id-89502628/
