Endereco,PrecoApto,PrecoCond,PrecoIPTU,NumQuartos,NumBanheiros,NumVagas,Area,URL
 ,Avenida Pereira Barreto| 1400 - Baeta Neves| São Bernardo do Campo - SP,R$ 487.559,R$ 488, ,3,3,2,94,https://www.vivareal.com.br/imovel/apartamento-3-quartos-baeta-neves-bairros-sao-bernardo-do-campo-com-garagem-94m2-venda-RS487559-id-85665168/
Condomínio Top Vision ,Avenida Pery Ronchetti| 1560 - Nova Petrópolis| São Bernardo do Campo - SP,R$ 245.000,R$ 380,R$ 70,3,2,1,63,https://www.vivareal.com.br/imovel/apartamento-3-quartos-nova-petropolis-bairros-sao-bernardo-do-campo-com-garagem-63m2-venda-RS245000-id-88587804/
Condomínio APARTAMENTO ,Rua Helena Aparecida Secol| 80 - Nova Petrópolis| São Bernardo do Campo - SP,R$ 295.000,R$ 278,R$ 720,3,1, ,66,https://www.vivareal.com.br/imovel/apartamento-3-quartos-nova-petropolis-bairros-sao-bernardo-do-campo-66m2-venda-RS295000-id-83545343/
Condomínio Up M Bigucci ,Rua Itu| 293 - Baeta Neves| São Bernardo do Campo - SP,R$ 460.000,R$ 800, ,3,2,2,75,https://www.vivareal.com.br/imovel/apartamento-3-quartos-baeta-neves-bairros-sao-bernardo-do-campo-com-garagem-75m2-venda-RS460000-id-86823937/
 ,Avenida Maria Servidei Demarchi| 2330 - Demarchi| São Bernardo do Campo - SP,R$ 240.000,R$ 250,R$ 72,2,1,1,52,https://www.vivareal.com.br/imovel/apartamento-2-quartos-demarchi-bairros-sao-bernardo-do-campo-com-garagem-52m2-venda-RS240000-id-88089758/
Condomínio HELBOR MOVEMENT CITY E LIFE ,Avenida Armando Ítalo Setti| 659 - Baeta Neves| São Bernardo do Campo - SP,R$ 460.000,R$ 450, ,3,3,2,93,https://www.vivareal.com.br/imovel/apartamento-3-quartos-baeta-neves-bairros-sao-bernardo-do-campo-com-garagem-93m2-venda-RS460000-id-87617452/
Condomínio Terraces São Bernardo Condominio ,Rua Frei Gaspar| 941 - Vila Santa Rita de Cassia| São Bernardo do Campo - SP,R$ 319.000,R$ 300,R$ 230,3,1,1,69,https://www.vivareal.com.br/imovel/apartamento-3-quartos-vila-santa-rita-de-cassia-bairros-sao-bernardo-do-campo-com-garagem-69m2-venda-RS319000-id-87938768/
 ,Rua dos Vianas| 4105 - Baeta Neves| São Bernardo do Campo - SP,R$ 178.000,R$ 240, ,2,1,1,47,https://www.vivareal.com.br/imovel/apartamento-2-quartos-baeta-neves-bairros-sao-bernardo-do-campo-com-garagem-47m2-venda-RS178000-id-89406274/
 ,Avenida Dom Jaime de Barros Câmara| 357 - Planalto| São Bernardo do Campo - SP,R$ 250.000,R$ 310, ,2,2,1,56,https://www.vivareal.com.br/imovel/apartamento-2-quartos-planalto-bairros-sao-bernardo-do-campo-com-garagem-56m2-venda-RS250000-id-85168735/
 ,Avenida Pereira Barreto| 1479 - Baeta Neves| São Bernardo do Campo - SP,R$ 490.000,R$ 460, ,3,3,2,94,https://www.vivareal.com.br/imovel/apartamento-3-quartos-baeta-neves-bairros-sao-bernardo-do-campo-com-garagem-94m2-venda-RS490000-id-87065079/
Condomínio STYLE PLATINUM ,Avenida Presidente Arthur Bernardes| 488 - Rudge Ramos| São Bernardo do Campo - SP,R$ 385.000,R$ 640, ,3,2,2,77,https://www.vivareal.com.br/imovel/apartamento-3-quartos-rudge-ramos-bairros-sao-bernardo-do-campo-com-garagem-77m2-venda-RS385000-id-78824754/
Condomínio Edifício Cannes ,Centro| São Bernardo do Campo - SP,R$ 750.000,R$ 1.200,R$ 160,3,3,3,127,https://www.vivareal.com.br/imovel/apartamento-3-quartos-centro-bairros-sao-bernardo-do-campo-com-garagem-127m2-venda-RS750000-id-89332093/
Condomínio Auguri ,Rua Comendador Carlo Mário Gardano| 203 - Centro| São Bernardo do Campo - SP,R$ 306.900,R$ 380,R$ 600,3,2,1,71,https://www.vivareal.com.br/imovel/apartamento-3-quartos-centro-bairros-sao-bernardo-do-campo-com-garagem-71m2-venda-RS306900-id-83363126/
Condomínio GRAN VILLAGE SAO BERNARDO ,Avenida Moinho Fabrini| 345 - Independência| São Bernardo do Campo - SP,R$ 480.000,R$ 470,R$ 2.000,3,2,2,80,https://www.vivareal.com.br/imovel/apartamento-3-quartos-independencia-bairros-sao-bernardo-do-campo-com-garagem-80m2-venda-RS480000-id-79318597/
 ,Avenida Aldino Pinotti - Centro| São Bernardo do Campo - SP,R$ 830.000, , ,3,2,2,123,https://www.vivareal.com.br/imovel/apartamento-3-quartos-centro-bairros-sao-bernardo-do-campo-com-garagem-123m2-venda-RS830000-id-89532768/
Condomínio ANIMA ,Rua Braga| 202 - Vila Lusitania| São Bernardo do Campo - SP,R$ 445.000,R$ 530, ,3,3,2,91,https://www.vivareal.com.br/imovel/apartamento-3-quartos-vila-lusitania-bairros-sao-bernardo-do-campo-com-garagem-91m2-venda-RS445000-id-85168640/
Condomínio HELBOR MOVEMENT CITY E LIFE ,Avenida Armando Ítalo Setti| 659 - Baeta Neves| São Bernardo do Campo - SP,R$ 585.000,R$ 550, ,3,5,2,116,https://www.vivareal.com.br/imovel/apartamento-3-quartos-baeta-neves-bairros-sao-bernardo-do-campo-com-garagem-116m2-venda-RS585000-id-84364487/
 ,Avenida Dom Jaime de Barros Câmara| 764 - Planalto| São Bernardo do Campo - SP,R$ 234.800,R$ 325,R$ 800,3,1,1,45,https://www.vivareal.com.br/imovel/apartamento-3-quartos-planalto-bairros-sao-bernardo-do-campo-com-garagem-45m2-venda-RS234800-id-86414509/
Condomínio SUIT SAO BERNARDO ,Avenida Dom Jaime de Barros Câmara| 335 - Planalto| São Bernardo do Campo - SP,R$ 260.000,R$ 290, ,2,2,1,56,https://www.vivareal.com.br/imovel/apartamento-2-quartos-planalto-bairros-sao-bernardo-do-campo-com-garagem-56m2-venda-RS260000-id-89208777/
Condomínio Parque Residencial Tiradentes ,Rua Tiradentes - Jardim Irajá| São Bernardo do Campo - SP,R$ 200.000,R$ 360, ,2,1,1,56,https://www.vivareal.com.br/imovel/apartamento-2-quartos-jardim-iraja-bairros-sao-bernardo-do-campo-com-garagem-56m2-venda-RS200000-id-85429022/
 ,Rua Ranieri Mazzilli| 200 - Vila Flórida| São Bernardo do Campo - SP,R$ 230.000,R$ 250,R$ 50,2,1,1,65,https://www.vivareal.com.br/imovel/apartamento-2-quartos-vila-florida-bairros-sao-bernardo-do-campo-com-garagem-65m2-venda-RS230000-id-83550359/
Condomínio GREEN VILLAGE ,Rua Raquiel da Cunha| 414 - Vila Jordanopolis| São Bernardo do Campo - SP,R$ 245.000,R$ 456,R$ 67,2,1,1,54,https://www.vivareal.com.br/imovel/apartamento-2-quartos-vila-jordanopolis-bairros-sao-bernardo-do-campo-com-garagem-54m2-venda-RS245000-id-74821539/
Condomínio Aracy ,Rua Ângelo David Tomé| 21 - Rudge Ramos| São Bernardo do Campo - SP,R$ 420.000, , ,3,2,1,140,https://www.vivareal.com.br/imovel/apartamento-3-quartos-rudge-ramos-bairros-sao-bernardo-do-campo-com-garagem-140m2-venda-RS420000-id-86606917/
 ,Avenida Pereira Barreto| 1470 - Baeta Neves| São Bernardo do Campo - SP,R$ 487.559,R$ 450, ,3,3,2,94,https://www.vivareal.com.br/imovel/apartamento-3-quartos-baeta-neves-bairros-sao-bernardo-do-campo-com-garagem-94m2-venda-RS487559-id-81837966/
 ,Avenida Presidente Arthur Bernardes| 289 - Vila Caminho do Mar| São Bernardo do Campo - SP,R$ 890.000,R$ 360, ,3,3,3,211,https://www.vivareal.com.br/imovel/apartamento-3-quartos-vila-caminho-do-mar-bairros-sao-bernardo-do-campo-com-garagem-211m2-venda-RS890000-id-89978832/
 ,Rua Braga - Vila Lusitania| São Bernardo do Campo - SP,R$ 730.000,R$ 597,R$ 220,3,3,2,107,https://www.vivareal.com.br/imovel/apartamento-3-quartos-vila-lusitania-bairros-sao-bernardo-do-campo-com-garagem-107m2-venda-RS730000-id-86736512/
 ,Rua Marechal Deodoro - Centro| São Bernardo do Campo - SP,R$ 270.000,R$ 340,R$ 50,2,2, ,80,https://www.vivareal.com.br/imovel/apartamento-2-quartos-centro-bairros-sao-bernardo-do-campo-80m2-venda-RS270000-id-86488810/
 ,Avenida Pereira Barreto| 1479 - Baeta Neves| São Bernardo do Campo - SP,R$ 485.000, , ,3,3,2,94,https://www.vivareal.com.br/imovel/apartamento-3-quartos-baeta-neves-bairros-sao-bernardo-do-campo-com-garagem-94m2-venda-RS485000-id-83012847/
 ,Rua Doutor Amâncio de Carvalho - Baeta Neves| São Bernardo do Campo - SP,R$ 180.000,R$ 200, ,2,1,1,56,https://www.vivareal.com.br/imovel/apartamento-2-quartos-baeta-neves-bairros-sao-bernardo-do-campo-com-garagem-56m2-venda-RS180000-id-89866413/
Condomínio APOLO ,Rua Municipal| 507 - Centro| São Bernardo do Campo - SP,R$ 460.000,R$ 690,R$ 140,2,2,2,90,https://www.vivareal.com.br/imovel/apartamento-2-quartos-centro-bairros-sao-bernardo-do-campo-com-garagem-90m2-venda-RS460000-id-84871273/
Condomínio IDEALE DEMARCHI ,Avenida Maria Servidei Demarchi| 2320 - Demarchi| São Bernardo do Campo - SP,R$ 240.000,R$ 300,R$ 700,2,1,1,52,https://www.vivareal.com.br/imovel/apartamento-2-quartos-demarchi-bairros-sao-bernardo-do-campo-com-garagem-52m2-venda-RS240000-id-88058347/
 ,Avenida Armando Ítalo Setti| 01 - Baeta Neves| São Bernardo do Campo - SP,R$ 470.100,R$ 530,R$ 600,3,4,2,93,https://www.vivareal.com.br/imovel/apartamento-3-quartos-baeta-neves-bairros-sao-bernardo-do-campo-com-garagem-93m2-venda-RS470100-id-81836788/
Condomínio FLAMINGO ,Rua Francisco Visentainer| 815 - Assunção| São Bernardo do Campo - SP,R$ 288.000,R$ 486,R$ 65,2,1,1,60,https://www.vivareal.com.br/imovel/apartamento-2-quartos-assuncao-bairros-sao-bernardo-do-campo-com-garagem-60m2-venda-RS288000-id-89344511/
Condomínio Alta Vista Club & Home ,Rua Américo Brasiliense| 700 - Centro| São Bernardo do Campo - SP,R$ 539.698,R$ 498,R$ 1.000,3,3,2,84,https://www.vivareal.com.br/imovel/apartamento-3-quartos-centro-bairros-sao-bernardo-do-campo-com-garagem-84m2-venda-RS539698-id-83473690/
Condomínio DOMO LIFE ,Avenida Aldino Pinotti| 500 - Centro| São Bernardo do Campo - SP,R$ 690.000,R$ 600, ,3,3,2,123,https://www.vivareal.com.br/imovel/apartamento-3-quartos-centro-bairros-sao-bernardo-do-campo-com-garagem-123m2-venda-RS690000-id-89885611/
